Title,Author,Link
The Declaration of Independence of the United States of America , Thomas Jefferson,https://www.gutenberg.org/ebooks/1
The United States Bill of Rights , United States,https://www.gutenberg.org/ebooks/2
John F. Kennedy's Inaugural Address , John F. Kennedy,https://www.gutenberg.org/ebooks/3
Lincoln's Gettysburg Address , Abraham Lincoln,https://www.gutenberg.org/ebooks/4
The United States Constitution , United States,https://www.gutenberg.org/ebooks/5
Give Me Liberty or Give Me Death , Patrick Henry,https://www.gutenberg.org/ebooks/6
The Mayflower Compact,No author found,https://www.gutenberg.org/ebooks/7
Abraham Lincoln's Second Inaugural Address , Abraham Lincoln,https://www.gutenberg.org/ebooks/8
Abraham Lincoln's First Inaugural Address , Abraham Lincoln,https://www.gutenberg.org/ebooks/9
The King James Version of the Bible,No author found,https://www.gutenberg.org/ebooks/10
Alice's Adventures in Wonderland , Lewis Carroll,https://www.gutenberg.org/ebooks/11
Through the Looking-Glass , Lewis Carroll,https://www.gutenberg.org/ebooks/12
The Hunting of the Snark: An Agony in Eight Fits , Lewis Carroll,https://www.gutenberg.org/ebooks/13
The 1990 CIA World Factbook , United States. Central Intelligence Agency,https://www.gutenberg.org/ebooks/14
"Moby-Dick; or, The Whale ","-Dick; or, The Whale ",https://www.gutenberg.org/ebooks/15
Peter Pan , J. M. Barrie,https://www.gutenberg.org/ebooks/16
The Book of Mormon :  an account written ," the hand of Mormon, upon platesâ€¦",https://www.gutenberg.org/ebooks/17
The Federalist Papers ," Alexander Hamilton, John Jay, and James Madison",https://www.gutenberg.org/ebooks/18
The Song of Hiawatha , Henry Wadsworth Longfellow,https://www.gutenberg.org/ebooks/19
Paradise Lost , John Milton,https://www.gutenberg.org/ebooks/20
